id;date;tweet;neg;neu;pos;com
1.747770740945097e+18;Wed Jan 17 23:59:51 +0000 2024;waww galaxy s24 bikin naksir banget dengan fitur lengkap nonton live samsung unpacked ikutan pre-order #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.7477707080324593e+18;Wed Jan 17 23:59:43 +0000 2024;tertarik gaksih beli galaxy s24 abis nonton live samsung unpacked tadi malem hiks, jadi pengen ikutan pre-order #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.7477707037038884e+18;Wed Jan 17 23:59:42 +0000 2024;bener2 bikin tertarik galaxy s24 nonton live samsung unpacked ikutan pre-order #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.7477706766381015e+18;Wed Jan 17 23:59:35 +0000 2024;galaxy s24 secakep itu gutsss kalian harus nonton live samsung unpacked pasti bikin pengen ikutan pre-order #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.7477706432136236e+18;Wed Jan 17 23:59:28 +0000 2024;marii gass guyss buat ikutan pre-order galaxy s24 nihh, soalnya beneran canggih banget gue abis nonton live samsung unpacked tadi #samsungunpacked    #galaxys24    @samsungid;0.0;1.0;0.0;0.0
1.7477706079689403e+18;Wed Jan 17 23:59:19 +0000 2024;ngeliat nya ini jadi pengen beli deh galaxy s24 nonton live samsung unpacked ikutan pre-order #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.7477705735210598e+18;Wed Jan 17 23:59:11 +0000 2024;brooo naksir banget sama galaxy s24 gara-gara nonton live samsung unpacked dan liat fitur canggih yg mereka punya. otw ikutan pre-order #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.7477705260877338e+18;Wed Jan 17 23:59:00 +0000 2024;naksirr secara bruntal sama galaxy s24  nonton live samsung unpacked tadi bikin gue pengen ikutan pre-order #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.747770493695099e+18;Wed Jan 17 23:58:52 +0000 2024;yok gazzz pengen beli galaxy s24 nonton live samsung unpacked ikutan pre-order #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.747770486829007e+18;Wed Jan 17 23:58:50 +0000 2024;nah ini yang terbaru galaxy s24. nonton live samsung unpacked ikutan pre-order jadi pengen beli  #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.7477703854820808e+18;Wed Jan 17 23:58:26 +0000 2024;galaxy s24 tuh emang new era of mobile banget gaksii, takjub gue abis nonton live samsung unpacked apa abis ini ikutan pre-order aja yaa? #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.7477703833136374e+18;Wed Jan 17 23:58:26 +0000 2024;secakep ituuu galaxy s24 gue dibuat terpukau pas nonton live samsung unpacked ikutan pre-order dehh gue nantii #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.747770369468207e+18;Wed Jan 17 23:58:22 +0000 2024;kerenn euyy galaxy s24 speknyaa canggih benerr, bikin gue sukakk pas nonton live samsung unpacked gas ga sihh buat ikutan pre-order nyaa #samsungunpacked    #galaxys24    @samsungid;0.0;1.0;0.0;0.0
1.7477703575731901e+18;Wed Jan 17 23:58:19 +0000 2024;makin penasaran jadi pengen punya galaxy s24 nonton live samsung unpacked ikutan pre-order #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.7477702716948155e+18;Wed Jan 17 23:57:59 +0000 2024;wih keren banget galaxy s24 tadi abis nonton live samsung unpacked jadinya betah berlama-lama nonton live streamingnya karena @samsungid gak main2 ngeluarin produknya #samsungunpacked    #galaxys24    ikutan pre-order yok;0.0;1.0;0.0;0.0
1.7477702703609695e+18;Wed Jan 17 23:57:59 +0000 2024;billboard samsung dah tukar s24 series.;0.0;1.0;0.0;0.0
1.7477702595186775e+18;Wed Jan 17 23:57:56 +0000 2024;asli dah bener2 kepincut galaxy s24 nonton live samsung unpacked ikutan pre-order #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.747770250727453e+18;Wed Jan 17 23:57:54 +0000 2024;pengen beli galaxy s24 dan  nonton live samsung unpacked ikutan pre-order nya yuk #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
1.7477702425401142e+18;Wed Jan 17 23:57:52 +0000 2024;cinta banget gue sama galaxy s24 ada futur galaxy ai nyaa woiiu  nonton live samsung unpacked jadi makin pengen ikutan pre-order #samsungunpacked #galaxys24 @samsungid;0.0;1.0;0.0;0.0
